Feature,Importance
bak,0.30671352183981604
 l,0.3066009781102284
hav,0.30558090713935837
tis,0.30490400179118177
uc,0.3047835218568556
wa,0.30324438257004105
tek,0.3026271723508764
lei,0.3024008802224703
bos,0.30174089242234364
ent,0.301612120677604
uz,0.30098618980844993
nu,0.30083908710210217
ler,0.3006364449593155
dol,0.30041263884422564
akk,0.2998027911626896
pri,0.2996284952745352
po,0.29935891910161483
üs,0.2992390951516264
üss,0.2992390951516264
süs,0.2992390951516264
kar,0.297324018000558
vee,0.2973177713303851
el,0.29695285874767524
ype,0.2957798659038561
yp,0.2957798659038561
uyp,0.2957798659038561
cuy,0.2957798659038561
ea,0.2956798408393877
rck,0.2956307295558886
itz,0.2950077352269193
va,0.2941606255462226
fa,0.2939778698358821
uli,0.2934341487922363
cob,0.2931699709629199
aco,0.2931699709629199
obs,0.2931699709629199
eer,0.2930586377564631
ok,0.292011946418881
ril,0.2910975759659931
tma,0.2910494888608706
tm,0.2910494888608706
ver,0.29005751285954035
kok,0.28999528799574575
iet,0.28972302248967047
pel,0.2893539892857377
ia,0.2886044687769704
aha,0.2884873852369018
rti,0.2884378346777246
bl,0.2866198829384797
ier,0.28638157907727996
aem,0.28462044942592823
eme,0.28462044942592823
fte,0.2842038148581259
of,0.28378398185654585
bes,0.28354925047020274
sve,0.28261930196121016
mic,0.2818650445976177
gle,0.2816890315884679
is,0.2816879460064463
dse,0.28165482544629905
sv,0.2813951900597498
cru,0.2808896576652647
weg,0.2807926418836063
tve,0.28026403916789866
tv,0.28026403916789866
etv,0.28026403916789866
atk,0.28021830248672375
ssi,0.2802113198944357
sma,0.2801250882722185
ez,0.2801086215815033
bal,0.2800892786224879
lba,0.2792010595691239
lor,0.27906070859362897
nni,0.2787357049757456
gwe,0.27861910808702633
gw,0.27861910808702633
gt,0.27695439147766304
sta,0.27653865875999856
phi,0.2758104555285786
fel,0.2751981887691959
eln,0.2750314317158056
ln,0.2750314317158056
bs,0.27428321050826593
hor,0.2740092483237505
wau,0.2739281876544438
sí,0.27343851389015117
sís,0.27343851389015117
así,0.27343851389015117
ís,0.27343851389015117
oef,0.2718834646975885
fle,0.2718834646975885
efl,0.2718834646975885
hen,0.27179964968448417
eve,0.27121254531788525
hl,0.27113778544042405
rtm,0.2710107257489191
gs,0.27053263484137036
dar,0.2699238016523436
peu,0.2693967014067268
eus,0.2693967014067268
kr,0.2691418200401041
hov,0.2691165884096383
tee,0.2686000566442076
ini,0.26856006171225083
ic,0.26850097215217267
han,0.26837372548811095
nto,0.268264567807742
dun,0.2675621042414277
ben,0.26745536277826804
tho,0.2670999299865029
gaa,0.266962001288048
raa,0.2666615636693714
clo,0.26662461139461874
av,0.26661497859307964
arn,0.2660900673516464
ach,0.26530533845532406
ap,0.2646326533834326
ftr,0.26428969386988255
tri,0.26428969386988255
rab,0.2642454346531022
aba,0.2642454346531022
mon,0.26368741464106843
ije,0.2634515632764445
fi,0.2633508159661674
aro,0.2632502860913859
aut,0.2628869549804401
ack,0.26288180724372295
pet,0.2627546799141416
oux,0.26264272566467756
pag,0.2625966984373712
get,0.2625966984373712
eg,0.26253633175825947
sin,0.2624278235822946
bor,0.26239535922275264
ash,0.26227556920718065
sto,0.2619519694455478
itc,0.26176620400643863
kit,0.26176620400643863
oge,0.26128098510186926
lae,0.2611879923353562
kap,0.2608338766267995
ouk,0.2604420959106923
ors,0.2603792964068581
vis,0.25987959835512686
ofw,0.2598431185222821
fwe,0.2598431185222821
fw,0.2598431185222821
oek,0.2596504715425428
ole,0.25910522642707023
lak,0.25894415912351487
gee,0.258460876886647
end,0.2584166973117976
ais,0.2583560845772393
ek,0.25766467858394204
ep,0.25734642269479746
ald,0.25730603590516027
du,0.25729095326023044
hui,0.25702271858703973
ski,0.2569992259071524
ske,0.2569858155877949
ume,0.25655672988885764
pa,0.25646446443326715
a,0.25595290000237353
ijd,0.2558795120258721
jd,0.2558795120258721
jde,0.2558795120258721
oem,0.25536895558569245
lti,0.2544899867419875
lz,0.25434074748841706
asl,0.2541698150021259
sla,0.2541698150021259
ows,0.2539009908319827
me,0.253712742638525
bin,0.2530784750831613
cz,0.25284937726211193
ass,0.2526603082818146
und,0.2525061823680386
usa,0.25179828920710823
erm,0.2517838991620395
rav,0.25172281476706193
q,0.2514926819725907
lij,0.2510355504392143
ann,0.25099086531944154
ick,0.25085989088621224
lfo,0.2508521533001154
ets,0.2507051612249285
ove,0.24894089637120775
ege,0.24889679836188736
jes,0.24835695393526697
gi,0.24822518406213853
unk,0.2481780189564082
ykk,0.2479774507622268
lyk,0.2479774507622268
esr,0.24736357173068957
sro,0.24736357173068957
sr,0.24736357173068957
nbo,0.24643845486340596
lli,0.24635709738849915
tk,0.24609539281950346
swa,0.24581843666382408
ew,0.24580805029171893
gos,0.24532466563780675
tz,0.24456402612459704
 w,0.24420393785715033
emi,0.24371051928536508
ess,0.243485423126576
rah,0.24311739455259923
nds,0.24278514358331074
ws,0.24243913058895225
ix,0.24242046961894306
ube,0.2416982959762964
bla,0.2408575539466625
ise,0.239052643137692
ż,0.23676649824387186
sch,0.23663188655166414
oc,0.23643822325702174
ine,0.23630609613259204
